,tas,tasmax,tasmin,pr,huss
changed_exac_global,156.2341398630507,8.827245865194174e+79,8.827245865194174e+79,6.925752594687416,1.0094403527290972e+80
changed_exac_land,194.68906949171037,2.1056508305598972e+75,2.1056508305598972e+75,9.806486649847,4.397502721797668e+79
changed_mod_global,99.46755521733918,8.422134890164854e+16,7.638829781849829e+16,56.233204904594785,99.39938200367351
changed_mod_land,99.34518097419931,1.895524877033441e+17,1.7687204139334422e+17,53.661944725409846,99.10863089278234
global_exacerbated,0.0,0.0,0.0,7.005800326078315,0.0
global_mean_anomaly_control,3.961456298828125,3.84857177734375,4.13153076171875,1.428052200935781e-06,0.0019769957289099693
global_mean_anomaly_solar,0.0673828125,0.050048828125,0.097320556640625,-5.592373781837523e-07,1.1108815670013428e-05
global_mean_anomaly_warming,-2.1315484799250726,-2.170562744140625,-2.18292236328125,-2.5648241717135534e-06,-0.0015168217942118645
global_moderated,100.00000451254891,100.00000451254891,100.00000451254891,56.44970224143435,99.93205198261421
land_exacerbated,0.0,0.0,0.0,9.91943481672024,0.0
land_moderated,99.99999738827125,99.99999738827125,99.99999738827125,53.84107449965743,99.76418842741066
moderated_exacerbated,moderated,moderated,moderated,moderated,moderated
unchanged_exac_global,0.4777779647674528,402774878985.5364,581764426240.9573,2.1887911604717377e+81,78291392769.01886
unchanged_exac_land,0.7051759458670815,377838343658.7822,313586357199.7678,8.510648777493852e+80,194483833939.6586
unchanged_mod_global,6.088092142628295e+79,1.0710626268882185e-69,7.381657754266011e-81,8.617784398568178e+81,1.3453535103850807e-52
unchanged_mod_land,1.1678001038513916e+80,5.066134300574316e-78,1.1403430953937835e-82,3.0383788937013227e+81,4.6686479229616035e-52
